,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
158846,17307313,House,20000000,Lahore,Punjab,31.317861,74.21814,4,4,2019-07-17,Athar Associates & Real Estate (Bahria Orchard),Zeeshan,5445.0,2019,7,2019-07-01
158847,17306446,Flat,6400000,Karachi,Sindh,24.779955,67.055179,2,2,2019-07-17,Smart Move Consultants & Developers,Khawaja Amir,5989.521999999999,2019,7,2019-07-01
158848,17306447,House,23000000,Karachi,Sindh,24.922442,67.073629,0,0,2019-07-16,Rajisthan Estate,"Fahad Khalil, Abdul Waheed",26136.096,2019,7,2019-07-01
158849,17306448,Flat,4200000,Karachi,Sindh,24.918394,67.066677,2,2,2019-07-16,Rajisthan Estate,"Fahad Khalil, Abdul Waheed",8984.283,2019,7,2019-07-01
158850,17306449,Flat,7800000,Karachi,Sindh,24.922442,67.073629,2,2,2019-07-16,Rajisthan Estate,"Fahad Khalil, Abdul Waheed",11434.542,2019,7,2019-07-01
158851,17306450,Flat,15600000,Karachi,Sindh,24.922442,67.073629,2,2,2019-07-16,Rajisthan Estate,"Fahad Khalil, Abdul Waheed",22869.084,2019,7,2019-07-01
158852,17306451,Flat,5800000,Karachi,Sindh,24.922442,67.073629,2,2,2019-07-16,Rajisthan Estate,"Fahad Khalil, Abdul Waheed",8984.283,2019,7,2019-07-01
158853,17306452,Flat,5600000,Karachi,Sindh,24.922442,67.073629,2,2,2019-07-16,Rajisthan Estate,"Fahad Khalil, Abdul Waheed",8984.283,2019,7,2019-07-01
158854,17306453,Flat,5600000,Karachi,Sindh,24.922442,67.073629,2,2,2019-07-16,Rajisthan Estate,"Fahad Khalil, Abdul Waheed",8984.283,2019,7,2019-07-01
158855,17306454,Flat,5600000,Karachi,Sindh,24.922442,67.073629,2,2,2019-07-16,Rajisthan Estate,"Fahad Khalil, Abdul Waheed",8984.283,2019,7,2019-07-01
158856,17306455,Flat,5500000,Karachi,Sindh,24.922442,67.073629,2,2,2019-07-16,Rajisthan Estate,"Fahad Khalil, Abdul Waheed",8984.283,2019,7,2019-07-01
158857,17306456,House,13000000,Karachi,Sindh,24.922442,67.073629,0,0,2019-07-16,Rajisthan Estate,"Fahad Khalil, Abdul Waheed",13068.048,2019,7,2019-07-01
158858,17306458,House,7800000,Karachi,Sindh,25.051119,67.064581,0,0,2019-07-16,Rajisthan Estate,"Fahad Khalil, Abdul Waheed",1089.004,2019,7,2019-07-01
158859,17306480,Flat,6700000,Karachi,Sindh,24.779955,67.055179,2,2,2019-07-17,Smart Move Consultants & Developers,Khawaja Amir,5989.521999999999,2019,7,2019-07-01
158860,17306514,Flat,6800000,Karachi,Sindh,24.779955,67.055179,2,2,2019-07-17,Smart Move Consultants & Developers,Khawaja Amir,5989.521999999999,2019,7,2019-07-01
158861,17306587,House,105000000,Karachi,Sindh,24.782215,67.074537,5,5,2019-07-17,Smart Move Consultants & Developers,Khawaja Amir,5445.0,2019,7,2019-07-01
